age,sex,race,sexori,relig_attend,equal_mar,poli,feel_LGB,feel_T,know_LGB,know_T,feel_LGBT,know_LGBT
36,2,1,NA,7,5,1,90,80,1,1,85,1
40,1,1,1,0,5,3,100,85,1,0,92.5,0.5
58,1,1,1,0,NA,1,100,85,1,1,92.5,1
78,2,1,3,7,4,4,50,50,1,0,50,0.5
50,1,1,NA,2,4,4,60,50,1,0,55,0.5
54,2,1,3,0,5,4,100,95,0,0,97.5,0
48,1,1,3,0,NA,4,50,50,1,0,50,0.5
29,2,1,3,5,5,2,100,100,1,0,100,0.5
71,1,1,3,0,NA,5,85,60,1,0,72.5,0.5
62,2,2,3,7,2,4,85,85,1,0,85,0.5
60,1,1,3,0,NA,4,50,50,0,0,50,0
60,2,1,3,2,4,4,60,60,0,0,60,0
53,2,1,NA,0,5,6,50,50,0,0,50,0
47,1,1,3,0,5,5,70,50,1,0,60,0.5
34,2,1,3,5,NA,4,70,70,1,0,70,0.5
27,2,2,3,8,NA,5,40,30,0,0,35,0
29,2,2,3,3,NA,2,50,50,0,0,50,0
74,2,1,3,0,1,1,70,30,0,0,50,0
30,2,2,NA,3,NA,3,100,100,1,0,100,0.5
38,1,1,2,1,5,2,90,90,1,0,90,0.5
49,2,1,3,7,NA,6,30,50,1,0,40,0.5
44,1,3,NA,2,4,5,30,30,0,0,30,0
66,2,1,3,1,5,3,70,70,0,0,70,0
59,2,3,3,2,NA,1,100,100,1,1,100,1
44,1,1,NA,7,4,3,70,50,1,0,60,0.5
37,1,1,3,1,NA,4,70,60,1,0,65,0.5
48,1,1,NA,7,2,6,50,50,1,0,50,0.5
25,1,2,3,7,4,6,0,0,0,0,0,0
44,2,1,NA,5,5,5,100,100,1,0,100,0.5
49,2,2,NA,8,1,6,85,50,0,0,67.5,0
61,2,1,NA,7,1,6,50,50,1,0,50,0.5
57,2,1,NA,2,5,4,85,85,1,0,85,0.5
33,2,3,NA,0,5,5,90,90,0,0,90,0
50,1,2,3,0,NA,4,50,50,0,0,50,0
68,2,1,3,2,5,6,85,100,1,1,92.5,1
37,1,2,3,0,4,3,85,85,0,0,85,0
44,2,1,3,0,5,3,50,50,1,1,50,1
54,2,2,NA,7,2,4,70,60,0,0,65,0
52,1,2,3,0,3,NA,60,60,NA,NA,60,NA
73,2,1,NA,3,1,4,50,50,0,0,50,0
43,1,3,3,7,NA,5,40,100,0,0,70,0
35,2,3,3,3,5,2,50,85,1,1,67.5,1
31,2,1,1,0,NA,2,70,75,1,0,72.5,0.5
25,1,1,3,0,5,4,85,50,1,0,67.5,0.5
44,1,1,1,2,5,3,100,85,1,0,92.5,0.5
67,1,1,NA,1,4,6,60,40,1,0,50,0.5
45,2,1,NA,2,4,4,60,40,1,0,50,0.5
63,2,1,NA,1,5,3,85,60,1,0,72.5,0.5
36,1,1,3,7,NA,5,65,70,0,0,67.5,0
35,2,1,3,3,4,4,100,100,0,0,100,0
51,1,1,3,5,3,5,60,50,1,0,55,0.5
40,1,2,3,6,NA,5,0,0,NA,NA,0,NA
45,1,1,NA,7,4,6,50,60,0,1,55,0.5
36,2,3,3,0,5,4,40,40,1,0,40,0.5
38,1,1,3,2,5,2,100,100,1,1,100,1
44,2,1,2,3,NA,1,100,100,1,1,100,1
29,2,2,3,7,NA,3,85,85,1,0,85,0.5
28,2,2,NA,7,2,5,50,50,1,0,50,0.5
68,2,1,3,8,1,4,50,50,0,0,50,0
30,2,1,3,0,NA,2,100,100,1,0,100,0.5
54,1,1,2,0,5,2,85,70,1,0,77.5,0.5
56,2,1,3,2,5,4,50,50,NA,NA,50,NA
34,1,1,1,0,NA,2,100,100,1,1,100,1
21,2,1,3,0,NA,4,85,70,1,0,77.5,0.5
59,2,1,1,0,5,2,100,70,1,0,85,0.5
63,2,1,3,2,5,3,100,100,1,0,100,0.5
49,2,1,NA,2,5,2,100,100,1,1,100,1
42,2,1,NA,2,5,3,50,50,1,1,50,1
55,1,1,NA,7,2,4,50,50,0,1,50,0.5
32,1,1,1,3,5,4,60,60,1,0,60,0.5
67,2,2,NA,7,1,3,70,70,1,0,70,0.5
76,2,2,3,0,5,4,50,50,1,0,50,0.5
72,1,1,3,4,NA,4,50,50,0,0,50,0
49,1,2,NA,4,3,2,50,70,1,0,60,0.5
65,1,1,3,8,NA,4,50,50,1,0,50,0.5
60,1,1,3,0,NA,6,50,50,1,0,50,0.5
