age,sex,race,sexori,relig_attend,equal_mar,poli,feel_LGB,feel_T,know_LGB,know_T,feel_LGBT,know_LGBT
40,1,1,1,0,5,3,100,85,1,0,92.5,0.5
78,2,1,3,7,4,4,50,50,1,0,50,0.5
54,2,1,3,0,5,4,100,95,0,0,97.5,0
29,2,1,3,5,5,2,100,100,1,0,100,0.5
62,2,2,3,7,2,4,85,85,1,0,85,0.5
60,2,1,3,2,4,4,60,60,0,0,60,0
47,1,1,3,0,5,5,70,50,1,0,60,0.5
74,2,1,3,0,1,1,70,30,0,0,50,0
38,1,1,2,1,5,2,90,90,1,0,90,0.5
66,2,1,3,1,5,3,70,70,0,0,70,0
25,1,2,3,7,4,6,0,0,0,0,0,0
68,2,1,3,2,5,6,85,100,1,1,92.5,1
37,1,2,3,0,4,3,85,85,0,0,85,0
44,2,1,3,0,5,3,50,50,1,1,50,1
35,2,3,3,3,5,2,50,85,1,1,67.5,1
25,1,1,3,0,5,4,85,50,1,0,67.5,0.5
44,1,1,1,2,5,3,100,85,1,0,92.5,0.5
35,2,1,3,3,4,4,100,100,0,0,100,0
51,1,1,3,5,3,5,60,50,1,0,55,0.5
36,2,3,3,0,5,4,40,40,1,0,40,0.5
38,1,1,3,2,5,2,100,100,1,1,100,1
68,2,1,3,8,1,4,50,50,0,0,50,0
54,1,1,2,0,5,2,85,70,1,0,77.5,0.5
59,2,1,1,0,5,2,100,70,1,0,85,0.5
63,2,1,3,2,5,3,100,100,1,0,100,0.5
32,1,1,1,3,5,4,60,60,1,0,60,0.5
76,2,2,3,0,5,4,50,50,1,0,50,0.5
48,1,2,3,6,1,2,15,16,1,1,15.5,1
52,1,1,2,0,5,5,100,100,1,0,100,0.5
63,2,1,3,7,1,6,15,0,0,0,7.5,0
41,1,1,1,2,5,5,95,90,1,0,92.5,0.5
33,1,1,3,7,5,5,50,40,0,0,45,0
42,2,1,3,2,5,4,50,50,0,0,50,0
24,1,1,3,0,5,3,50,45,0,0,47.5,0
31,2,1,3,7,5,4,85,85,1,0,85,0.5
29,1,1,3,2,5,1,85,50,1,1,67.5,1
25,1,1,3,0,5,3,100,100,1,1,100,1
65,1,1,3,5,4,2,50,50,1,0,50,0.5
42,1,1,3,6,3,6,50,50,1,0,50,0.5
56,2,1,2,4,5,4,85,85,1,0,85,0.5
35,2,1,3,0,5,2,50,50,1,0,50,0.5
43,2,1,3,0,5,3,70,60,1,0,65,0.5
58,2,1,3,1,5,2,100,50,1,0,75,0.5
45,1,1,3,1,4,4,50,50,0,0,50,0
65,1,1,3,5,4,3,85,85,0,0,85,0
85,2,1,3,7,3,4,60,40,1,0,50,0.5
32,2,1,3,5,5,4,75,75,0,0,75,0
49,2,1,3,3,5,4,40,40,0,0,40,0
